"X","Unnamed..0","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
3248,"FBN1_ITGA5_ITGB1","FBN1_ITGA5_ITGB1","FBN1","FBN1","ITGA5_ITGB1","","","","","PMID: ","Secreted Signaling","FBN1 - (ITGA5+ITGB1)","False","FBN1","","","","","True","ITGA5, ITGB1","","","","Receptors","ITGA5_ITGB1","","","True","CellChatDB custom"
3249,"WNT5A_MCAM","WNT5A_MCAM","WNT5A","WNT5A","MCAM","","","","","PMID: 24335906","Secreted Signaling","WNT5A - MCAM","False","WNT5A","","","","","","MCAM","","","","Receptors","MCAM","","","True","CellChatDB custom"
3250,"IL6_IL6R","IL6_IL6R","IL6","IL6","IL6R","","","","","PMID: 12829785","Secreted Signaling","IL6 - IL6R","False","IL6","","","","","","IL6R","","","","Receptors","IL6R","","","True","CellChatDB custom"
3251,"SERPINE1_PLAUR","SERPINE1_PLAUR","SERPINE1","SERPINE1","PLAUR","","","","","PMID: 10896774","Secreted Signaling","SERPINE1 - PLAUR","False","SERPINE1","","","","","","PLAUR","","","","Receptors","PLAUR","","","True","CellChatDB custom"
3252,"COL14A1_CD44","COL14A1_CD44","COL14A1","COL14A1","CD44","","","","","PMID: 8986622","Secreted Signaling","COL14A1 - CD44","False","COL14A1","","","","","","CD44","","","","Receptors","CD44","","","True","CellChatDB custom"
3253,"COL1A1_CD44","COL1A1_CD44","COL1A1","COL1A1","CD44","","","","","PMID: 1730778","Secreted Signaling","COL1A1 - CD44","False","COL1A1","","","","","","CD44","","","","Receptors","CD44","","","True","CellChatDB custom"
3254,"SERPINE1_LRP2","SERPINE1_LRP2","SERPINE1","SERPINE1","LRP2","","","","","PMID: 10948192","Secreted Signaling","SERPINE1 - LRP2","False","SERPINE1","","","","","","LRP2","","","","Receptors","LRP2","","","True","CellChatDB custom"
3257,"PVRL2_TIGIT","PVRL2_TIGIT","PVRL2","PVRL2","TIGIT","","","","","PMID: ","Secreted Signaling","PVRL2 - TIGIT","False","PVRL2","","","","","","TIGIT","","","","Receptors","TIGIT","","","True","CellChatDB custom"
3258,"PLAU_PLAUR","PLAU_PLAUR","PLAU","PLAU","PLAUR","","","","","PMID: 16456079","Secreted Signaling","PLAU - PLAUR","False","PLAU","","","","","","PLAUR","","","","Receptors","PLAUR","","","True","CellChatDB custom"
3259,"PLAU_ITGA5_ITGB1","PLAU_ITGA5_ITGB1","PLAU","PLAU","ITGA5_ITGB1","","","","","PMID: 32196115","Secreted Signaling","PLAU - (ITGA5+ITGB1)","False","PLAU","","","","","True","ITGA5, ITGB1","","","","Receptors","ITGA5_ITGB1","","","True","CellChatDB custom"
3260,"PRG4_CD44","PRG4_CD44","PRG4","PRG4","CD44","","","","","PMID: 30157934","Secreted Signaling","PRG4 - CD44","False","PRG4","","","","","","CD44","","","","Receptors","CD44","","","True","CellChatDB custom"
3261,"CXCL1_CXCR1","CXCL1_CXCR1","CXCL1","CXCL1","CXCR1","","","","","PMID: 20044480","Secreted Signaling","CXCL1 - CXCR1","False","CXCL1","","","","","","CXCR1","","","","Receptors","CXCR1","","","True","CellChatDB custom"
3262,"CXCL2_CXCR1","CXCL2_CXCR1","CXCL2","CXCL2","CXCR1","","","","","PMID: 20044480","Secreted Signaling","CXCL2 - CXCR1","False","CXCL2","","","","","","CXCR1","","","","Receptors","CXCR1","","","True","CellChatDB custom"
3263,"CXCL6_CXCR1","CXCL6_CXCR1","CXCL6","CXCL6","CXCR1","","","","","PMID: 10699158","Secreted Signaling","CXCL6 - CXCR1","False","CXCL6","","","","","","CXCR1","","","","Receptors","CXCR1","","","True","CellChatDB custom"
716,"MIF_CD74_CXCR4","MIF_CD74_CXCR4","MIF","MIF","CD74_CXCR4","","","","","PMID: 29637711; PMID: 24760155","Secreted Signaling","MIF - (CD74+CXCR4)","False","MIF","MIF","Cytoplasm, Secreted","Immunity, Reference proteome, Innate immunity, Secreted, Direct protein sequencing, Cytoplasm, 3D-structure, Isomerase, Inflammatory response, Cytokine, Acetylation","","","CD74, CXCR4","G-protein coupled receptor 1","Golgi apparatus, Cell membrane, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome, Late endosome, Early endosome, Cell junction","Immunity, Membrane, Alternative initiation, Disulfide bond, Transmembrane, Signal-anchor, Alternative splicing, Adaptive immunity, Endoplasmic reticulum, Glycoprotein, Chaperone, Lysosome, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Golgi apparatus, 3D-structure, Endosome, Proteoglycan, Host-virus interaction, Host cell receptor for virus entry, Receptor, Disease variant, Transducer, Sulfation, G-protein coupled receptor, Isopeptide bond, Cell junction, Ubl conjugation","Unclassified, Receptors","Unclassified, GPCR;Rhodopsin","","","True","CellChatDB v1"
717,"MIF_CD74_CD44","MIF_CD74_CD44","MIF","MIF","CD74_CD44","","","","","PMID: 29637711; PMID: 26175090","Secreted Signaling","MIF - (CD74+CD44)","False","MIF","MIF","Cytoplasm, Secreted","Immunity, Reference proteome, Innate immunity, Secreted, Direct protein sequencing, Cytoplasm, 3D-structure, Isomerase, Inflammatory response, Cytokine, Acetylation","","","CD44, CD74","","Cell membrane, Microvillus, Cell projection, Golgi apparatus, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Blood group antigen, Glycoprotein, Cell projection, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Proteoglycan, Immunity, Alternative initiation, Signal-anchor, Adaptive immunity, Endoplasmic reticulum, Chaperone, Lysosome, Golgi apparatus, Endosome","Unclassified","Unclassified","","","True","CellChatDB v1"
718,"MIF_CD74_CXCR2","MIF_CD74_CXCR2","MIF","MIF","CD74_CXCR2","","","","","PMID: 29637711; PMID: 26175090","Secreted Signaling","MIF - (CD74+CXCR2)","False","MIF","MIF","Cytoplasm, Secreted","Immunity, Reference proteome, Innate immunity, Secreted, Direct protein sequencing, Cytoplasm, 3D-structure, Isomerase, Inflammatory response, Cytokine, Acetylation","","","CXCR2, CD74","G-protein coupled receptor 1","Cell membrane, Golgi apparatus, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome","Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Chemotaxis, G-protein coupled receptor, 3D-structure, Glycoprotein, Immunity, Alternative initiation, Signal-anchor, Alternative splicing, Adaptive immunity, Endoplasmic reticulum, Chaperone, Lysosome, Direct protein sequencing, Golgi apparatus, Endosome, Proteoglycan","Unclassified, Receptors","Unclassified, GPCR;Rhodopsin","","","True","CellChatDB v1"
848,"NAMPT_ITGA5_ITGB1","NAMPT_ITGA5_ITGB1","VISFATIN","NAMPT","ITGA5_ITGB1","","","","","PMID: 28490838","Secreted Signaling","NAMPT - (ITGA5+ITGB1)","False","NAMPT","NAPRTase","Cytoplasm, Secreted, Nucleus","Glycosyltransferase, Reference proteome, Biological rhythms, Pyridine nucleotide biosynthesis, Nucleus, Phosphoprotein, Secreted, Cytoplasm, 3D-structure, Transferase, Cytokine, Acetylation","","","ITGA5, ITGB1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","","True","CellChatDB v1"
